City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Jaipur,Temple Visit,"33, Market Road, Jaipur",October to March,2215
Amritsar,River Rafting,"3, Market Road, Amritsar",October to March,6745
Thiruvananthapuram,Trekking,"133, Central Plaza, Thiruvananthapuram",December to March,8622
Goa,Cultural Tour,"109, Main Street, Goa",November to February,3645
Lakshadweep,Food Tasting,"30, Hill View Road, Lakshadweep",November to April,2095
Chandigarh,Trekking,"38, Lake Side, Chandigarh",October to March,5298
Vijayawada,Historical Tour,"130, Cultural District, Vijayawada",December to March,4465
Agartala,Sightseeing,"106, Hill View Road, Agartala",October to February,3108
Lakshadweep,Historical Tour,"48, Cultural District, Lakshadweep",December to March,4086
Chandigarh,Shopping,"40, Heritage Lane, Chandigarh",September to February,3536
Hyderabad,Museum Visit,"101, Beachside Promenade, Hyderabad",November to February,1316
Amritsar,Beach Visit,"13, Beachside Promenade, Amritsar",September to February,5551
Kavaratti,River Rafting,"114, Lake Side, Kavaratti",December to March,8382
Delhi,Adventure Sports,"74, Lake Side, Delhi",September to February,9986
Manali,Wildlife Safari,"148, Heritage Lane, Manali",October to March,6063
Vijayawada,Beach Visit,"6, Temple Road, Vijayawada",December to March,3860
Bhubaneswar,Cultural Tour,"131, Temple Road, Bhubaneswar",November to March,5532
Agartala,Shopping,"79, Riverfront Area, Agartala",November to March,2196
Udaipur,Temple Visit,"141, Main Street, Udaipur",October to March,2630
Agra,Adventure Sports,"82, Cultural District, Agra",September to February,12191
Kolkata,Cultural Tour,"59, Main Street, Kolkata",October to February,6641
Gangtok,Sightseeing,"40, Beachside Promenade, Gangtok",October to February,6711
Gangtok,Adventure Sports,"13, Temple Road, Gangtok",November to March,11382
Jodhpur,Food Tasting,"98, Hill View Road, Jodhpur",November to February,1788
Thiruvananthapuram,Beach Visit,"87, Garden Street, Thiruvananthapuram",December to March,2518
Puri,Food Tasting,"103, Market Road, Puri",November to March,2569
Bhubaneswar,Sightseeing,"94, Cultural District, Bhubaneswar",November to March,5492
Bhubaneswar,Wildlife Safari,"126, Riverfront Area, Bhubaneswar",October to February,5833
Chandigarh,Temple Visit,"81, Garden Street, Chandigarh",October to March,1033
Daman,Sightseeing,"145, Heritage Lane, Daman",November to April,3113
Thiruvananthapuram,Wildlife Safari,"99, Temple Road, Thiruvananthapuram",November to February,5896
Jaipur,Trekking,"58, Cultural District, Jaipur",October to March,5323
Coimbatore,Food Tasting,"11, Heritage Lane, Coimbatore",November to February,3829
Kolkata,Sightseeing,"26, Lake Side, Kolkata",November to March,5877
Lakshadweep,Adventure Sports,"96, Lake Side, Lakshadweep",December to March,11366
Pondicherry,Food Tasting,"77, Old Town, Pondicherry",November to February,1521
Varanasi,Food Tasting,"141, Central Plaza, Varanasi",October to March,1570
Vadodara,Cultural Tour,"90, Central Plaza, Vadodara",October to March,6724
Kolkata,Adventure Sports,"56, Riverfront Area, Kolkata",November to March,12828
Shimla,Shopping,"56, Main Street, Shimla",September to February,5681
Chandigarh,Beach Visit,"17, Main Street, Chandigarh",September to February,3448
Ahmedabad,Adventure Sports,"92, Beachside Promenade, Ahmedabad",November to February,7802
Delhi,Sightseeing,"36, Market Road, Delhi",October to March,3310
Diu,Museum Visit,"47, Market Road, Diu",December to March,2336
Pune,Beach Visit,"150, Heritage Lane, Pune",November to February,5942
Delhi,Historical Tour,"74, Beachside Promenade, Delhi",October to March,4118
Varanasi,Beach Visit,"39, Old Town, Varanasi",October to March,3341
Puri,Cultural Tour,"6, Heritage Lane, Puri",October to February,4896
Diu,Museum Visit,"130, Riverfront Area, Diu",November to April,1642
Delhi,Wildlife Safari,"10, Cultural District, Delhi",October to March,5330
Bengaluru,Temple Visit,"94, Central Plaza, Bengaluru",November to February,2713
Delhi,Trekking,"150, Market Road, Delhi",September to February,8647
Mumbai,Sightseeing,"93, Hill View Road, Mumbai",November to February,4590
Daman,Shopping,"62, Old Town, Daman",December to March,3968
Goa,Cultural Tour,"34, Beachside Promenade, Goa",October to March,6350
Shillong,Food Tasting,"138, Main Street, Shillong",November to March,2331
Amritsar,Food Tasting,"107, Heritage Lane, Amritsar",October to March,2086
Chennai,Temple Visit,"69, Beachside Promenade, Chennai",November to February,2011
Chennai,Sightseeing,"120, Cultural District, Chennai",November to February,6867
Diu,Sightseeing,"104, Heritage Lane, Diu",December to March,5462
Darjeeling,Cultural Tour,"21, Old Town, Darjeeling",October to February,4466
Jodhpur,Beach Visit,"18, Riverfront Area, Jodhpur",November to February,3879
Kolkata,Historical Tour,"62, Cultural District, Kolkata",November to March,5240
Vadodara,Temple Visit,"122, Hill View Road, Vadodara",October to March,1408
Daman,River Rafting,"120, Market Road, Daman",December to March,7373
Chandigarh,Sightseeing,"25, Garden Street, Chandigarh",October to March,4251
Hyderabad,Sightseeing,"2, Old Town, Hyderabad",December to March,4124
Indore,Cultural Tour,"139, Old Town, Indore",October to March,5283
Imphal,Shopping,"138, Market Road, Imphal",October to February,2567
Agra,Sightseeing,"56, Market Road, Agra",October to March,3313
Kavaratti,Wildlife Safari,"46, Main Street, Kavaratti",December to March,9141
Goa,Temple Visit,"58, Lake Side, Goa",October to March,1014
Pune,River Rafting,"20, Garden Street, Pune",November to February,6294
Ranchi,Cultural Tour,"79, Hill View Road, Ranchi",November to March,4598
Goa,Temple Visit,"70, Central Plaza, Goa",November to February,2350
Jodhpur,Museum Visit,"111, Hill View Road, Jodhpur",October to March,2267
Nagpur,River Rafting,"42, Lake Side, Nagpur",November to February,7199
Chandigarh,Historical Tour,"69, Central Plaza, Chandigarh",September to February,4798
Mysore,River Rafting,"61, Hill View Road, Mysore",November to February,7011
Gangtok,Temple Visit,"76, Lake Side, Gangtok",October to February,3402
Kolkata,Beach Visit,"16, Temple Road, Kolkata",November to March,3579
Nagpur,Sightseeing,"120, Beachside Promenade, Nagpur",October to March,6530
Gangtok,Trekking,"103, Heritage Lane, Gangtok",November to March,8514
Rishikesh,Beach Visit,"140, Market Road, Rishikesh",September to February,3182
Goa,Historical Tour,"19, Market Road, Goa",October to March,3920
Chennai,Temple Visit,"27, Central Plaza, Chennai",December to March,1149
Shillong,Food Tasting,"131, Heritage Lane, Shillong",October to February,3151
Bhubaneswar,River Rafting,"65, Central Plaza, Bhubaneswar",October to February,10130
Gangtok,Trekking,"144, Main Street, Gangtok",October to February,8247
Shillong,Adventure Sports,"49, Temple Road, Shillong",October to February,14209
Bengaluru,Beach Visit,"40, Main Street, Bengaluru",November to February,3261
Amritsar,Museum Visit,"42, Garden Street, Amritsar",October to March,1539
Puri,Sightseeing,"149, Main Street, Puri",October to February,3945
Puri,Sightseeing,"12, Garden Street, Puri",November to March,3419
Imphal,Sightseeing,"84, Temple Road, Imphal",October to February,4203
Indore,Trekking,"119, Hill View Road, Indore",October to March,6225
Bengaluru,River Rafting,"15, Temple Road, Bengaluru",December to March,10336
Ranchi,River Rafting,"121, Main Street, Ranchi",November to March,7840
Shimla,Trekking,"50, Heritage Lane, Shimla",September to February,6019
Patna,Museum Visit,"87, Riverfront Area, Patna",November to March,2033
Rishikesh,Museum Visit,"13, Cultural District, Rishikesh",October to March,2916
Chandigarh,Temple Visit,"65, Hill View Road, Chandigarh",October to March,1863
Bengaluru,Adventure Sports,"74, Cultural District, Bengaluru",December to March,10787
Hyderabad,Shopping,"54, Lake Side, Hyderabad",November to February,4301
Coimbatore,Food Tasting,"59, Temple Road, Coimbatore",November to February,3083
Bhubaneswar,Shopping,"146, Cultural District, Bhubaneswar",November to March,4983
Agra,Museum Visit,"126, Cultural District, Agra",October to March,2862
Amritsar,Wildlife Safari,"20, Temple Road, Amritsar",October to March,7995
Vijayawada,Trekking,"39, Market Road, Vijayawada",November to February,7910
Jaipur,Cultural Tour,"123, Garden Street, Jaipur",September to February,7501
Kolkata,Beach Visit,"14, Temple Road, Kolkata",November to March,4957
Port Blair,Wildlife Safari,"77, Beachside Promenade, Port Blair",November to April,7356
Kavaratti,River Rafting,"89, Market Road, Kavaratti",December to March,10555
Imphal,Adventure Sports,"36, Hill View Road, Imphal",October to February,12053
Vijayawada,Shopping,"16, Beachside Promenade, Vijayawada",December to March,3794
Thiruvananthapuram,Historical Tour,"102, Hill View Road, Thiruvananthapuram",December to March,3580
Lakshadweep,Beach Visit,"51, Central Plaza, Lakshadweep",November to April,3846
Chandigarh,Sightseeing,"49, Heritage Lane, Chandigarh",October to March,6067
Vijayawada,Beach Visit,"42, Beachside Promenade, Vijayawada",December to March,2554
Jodhpur,Museum Visit,"142, Lake Side, Jodhpur",October to March,1552
Shillong,Food Tasting,"140, Heritage Lane, Shillong",October to February,2461
Leh,Temple Visit,"99, Riverfront Area, Leh",October to March,1037
Coimbatore,Cultural Tour,"143, Old Town, Coimbatore",November to February,6536
Rishikesh,Historical Tour,"103, Heritage Lane, Rishikesh",October to March,7692
Bhubaneswar,Trekking,"145, Garden Street, Bhubaneswar",November to March,4818
Imphal,Historical Tour,"43, Beachside Promenade, Imphal",October to February,3447
Chandigarh,River Rafting,"58, Lake Side, Chandigarh",September to February,8277
Diu,Food Tasting,"128, Lake Side, Diu",December to March,1556
Thiruvananthapuram,Shopping,"6, Beachside Promenade, Thiruvananthapuram",November to February,2191
Shillong,Sightseeing,"134, Main Street, Shillong",October to February,5657
Agra,Trekking,"70, Beachside Promenade, Agra",October to March,6098
Vijayawada,Trekking,"2, Central Plaza, Vijayawada",November to February,6059
Kochi,Food Tasting,"102, Temple Road, Kochi",November to February,3616
Ranchi,Museum Visit,"23, Main Street, Ranchi",October to February,1888
Diu,Museum Visit,"128, Main Street, Diu",December to March,2073
Kochi,Museum Visit,"62, Cultural District, Kochi",December to March,2368
Ranchi,Wildlife Safari,"95, Cultural District, Ranchi",November to March,5435
Puri,Cultural Tour,"27, Heritage Lane, Puri",November to March,5992
Shillong,River Rafting,"144, Temple Road, Shillong",October to February,11339
Agartala,River Rafting,"48, Temple Road, Agartala",October to February,8421
Vadodara,Trekking,"11, Lake Side, Vadodara",October to March,6477
Kochi,Shopping,"95, Riverfront Area, Kochi",December to March,3397
Leh,Temple Visit,"140, Temple Road, Leh",October to March,2245
Mysore,Cultural Tour,"38, Old Town, Mysore",December to March,6765
Ranchi,Shopping,"103, Riverfront Area, Ranchi",October to February,4606
Pondicherry,Trekking,"121, Hill View Road, Pondicherry",December to March,8626
Kolkata,Adventure Sports,"66, Cultural District, Kolkata",October to February,9082
Jaipur,Food Tasting,"4, Lake Side, Jaipur",October to March,3381
Pune,Cultural Tour,"78, Cultural District, Pune",October to March,7229
Bengaluru,Beach Visit,"56, Riverfront Area, Bengaluru",November to February,5176
Jodhpur,Beach Visit,"39, Market Road, Jodhpur",November to February,5351
Kochi,Shopping,"52, Market Road, Kochi",December to March,4084
Ranchi,Adventure Sports,"109, Old Town, Ranchi",November to March,13170
Indore,Shopping,"9, Temple Road, Indore",November to February,3636
Vijayawada,Cultural Tour,"20, Cultural District, Vijayawada",December to March,5057
Chennai,Adventure Sports,"77, Old Town, Chennai",November to February,11230
Lakshadweep,Temple Visit,"35, Hill View Road, Lakshadweep",December to March,1950
Mysore,Museum Visit,"107, Central Plaza, Mysore",November to February,2742
Ahmedabad,Adventure Sports,"88, Heritage Lane, Ahmedabad",November to February,12670
Vijayawada,Adventure Sports,"45, Lake Side, Vijayawada",November to February,7881
Shimla,Adventure Sports,"39, Old Town, Shimla",October to March,11562
Shimla,Cultural Tour,"69, Hill View Road, Shimla",September to February,6073
Chennai,Trekking,"7, Central Plaza, Chennai",November to February,5354
Leh,Food Tasting,"120, Temple Road, Leh",September to February,3035
Kolkata,Food Tasting,"111, Old Town, Kolkata",October to February,3752
Hyderabad,Shopping,"132, Main Street, Hyderabad",November to February,5325
Agartala,Cultural Tour,"40, Lake Side, Agartala",October to February,4737
Rishikesh,Food Tasting,"50, Main Street, Rishikesh",September to February,2310
Kochi,Beach Visit,"78, Cultural District, Kochi",November to February,4637
Chandigarh,River Rafting,"67, Beachside Promenade, Chandigarh",October to March,10733
Kolkata,Historical Tour,"33, Old Town, Kolkata",November to March,3738
Kochi,Museum Visit,"58, Central Plaza, Kochi",November to February,2860
Lakshadweep,Beach Visit,"112, Beachside Promenade, Lakshadweep",December to March,3408
Madurai,Wildlife Safari,"121, Market Road, Madurai",November to February,8054
Puri,Beach Visit,"131, Market Road, Puri",November to March,3146
Leh,Historical Tour,"133, Market Road, Leh",September to February,4668
Leh,River Rafting,"87, Market Road, Leh",October to March,7347
Mysore,Adventure Sports,"90, Market Road, Mysore",December to March,14293
Rishikesh,Food Tasting,"85, Market Road, Rishikesh",October to March,2507
Mumbai,Sightseeing,"7, Beachside Promenade, Mumbai",October to March,3123
Imphal,Museum Visit,"44, Market Road, Imphal",November to March,1644
Bhubaneswar,Adventure Sports,"47, Market Road, Bhubaneswar",October to February,9568
Bengaluru,Cultural Tour,"132, Central Plaza, Bengaluru",December to March,6361
Goa,River Rafting,"112, Main Street, Goa",October to March,7646
Lakshadweep,Adventure Sports,"111, Old Town, Lakshadweep",December to March,12485
Hyderabad,River Rafting,"145, Riverfront Area, Hyderabad",December to March,8113
Chandigarh,Historical Tour,"120, Beachside Promenade, Chandigarh",September to February,5871
Shimla,Wildlife Safari,"33, Cultural District, Shimla",September to February,6433
Shimla,Sightseeing,"111, Garden Street, Shimla",September to February,3271
Mumbai,Sightseeing,"95, Garden Street, Mumbai",November to February,3117
Agra,Adventure Sports,"140, Hill View Road, Agra",September to February,14032
Varanasi,Beach Visit,"81, Cultural District, Varanasi",October to March,3501
